IBM i リリース,対象プロダクト,製品バージョン,ライセンスプログラム,ライセンスプログラム名,LPP判定根拠,リリース補完,オプション,PTF番号,PTF種別,Severity,CVE,CVE別Severity,Publish Date,最終更新,速報タイトル,URL,影響バージョン(速報記載),Workarounds and Mitigations,Remediation原文,nid
7.6,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,Option 3,SJ11027,個別PTF,High,"CVE-2026-10842, CVE-2026-11897, CVE-2026-14981, CVE-2026-15057, CVE-2026-15064, CVE-2026-15325, CVE-2026-15328, CVE-2026-50645, CVE-2026-54225, CVE-2026-57819, CVE-2026-64958",CVE-2026-10842 (High); CVE-2026-11897 (High); CVE-2026-14981 (High); CVE-2026-15057 (High); CVE-2026-15064 (High); CVE-2026-15325 (High); CVE-2026-15328 (High); CVE-2026-50645 (High); CVE-2026-54225 (High); CVE-2026-57819 (High); CVE-2026-64958 (High),2026-08-21,2026-08-21,IBM i is Affected By Multiple Vulnerabilities in WebSphere Application Server Liberty,https://www.ibm.com/support/pages/node/7284593,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 Option 3 PTF Number(s) PTF Download Link(s) 7.6 SJ11027 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11027 7.5 SJ11028 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11028 7.4 SJ11029 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11029 7.3 SJ11030 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11030 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284593
7.5,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,Option 3,SJ11028,個別PTF,High,"CVE-2026-10842, CVE-2026-11897, CVE-2026-14981, CVE-2026-15057, CVE-2026-15064, CVE-2026-15325, CVE-2026-15328, CVE-2026-50645, CVE-2026-54225, CVE-2026-57819, CVE-2026-64958",CVE-2026-10842 (High); CVE-2026-11897 (High); CVE-2026-14981 (High); CVE-2026-15057 (High); CVE-2026-15064 (High); CVE-2026-15325 (High); CVE-2026-15328 (High); CVE-2026-50645 (High); CVE-2026-54225 (High); CVE-2026-57819 (High); CVE-2026-64958 (High),2026-08-21,2026-08-21,IBM i is Affected By Multiple Vulnerabilities in WebSphere Application Server Liberty,https://www.ibm.com/support/pages/node/7284593,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 Option 3 PTF Number(s) PTF Download Link(s) 7.6 SJ11027 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11027 7.5 SJ11028 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11028 7.4 SJ11029 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11029 7.3 SJ11030 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11030 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284593
7.4,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,Option 3,SJ11029,個別PTF,High,"CVE-2026-10842, CVE-2026-11897, CVE-2026-14981, CVE-2026-15057, CVE-2026-15064, CVE-2026-15325, CVE-2026-15328, CVE-2026-50645, CVE-2026-54225, CVE-2026-57819, CVE-2026-64958",CVE-2026-10842 (High); CVE-2026-11897 (High); CVE-2026-14981 (High); CVE-2026-15057 (High); CVE-2026-15064 (High); CVE-2026-15325 (High); CVE-2026-15328 (High); CVE-2026-50645 (High); CVE-2026-54225 (High); CVE-2026-57819 (High); CVE-2026-64958 (High),2026-08-21,2026-08-21,IBM i is Affected By Multiple Vulnerabilities in WebSphere Application Server Liberty,https://www.ibm.com/support/pages/node/7284593,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 Option 3 PTF Number(s) PTF Download Link(s) 7.6 SJ11027 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11027 7.5 SJ11028 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11028 7.4 SJ11029 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11029 7.3 SJ11030 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11030 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284593
7.3,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,Option 3,SJ11030,個別PTF,High,"CVE-2026-10842, CVE-2026-11897, CVE-2026-14981, CVE-2026-15057, CVE-2026-15064, CVE-2026-15325, CVE-2026-15328, CVE-2026-50645, CVE-2026-54225, CVE-2026-57819, CVE-2026-64958",CVE-2026-10842 (High); CVE-2026-11897 (High); CVE-2026-14981 (High); CVE-2026-15057 (High); CVE-2026-15064 (High); CVE-2026-15325 (High); CVE-2026-15328 (High); CVE-2026-50645 (High); CVE-2026-54225 (High); CVE-2026-57819 (High); CVE-2026-64958 (High),2026-08-21,2026-08-21,IBM i is Affected By Multiple Vulnerabilities in WebSphere Application Server Liberty,https://www.ibm.com/support/pages/node/7284593,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 Option 3 PTF Number(s) PTF Download Link(s) 7.6 SJ11027 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11027 7.5 SJ11028 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11028 7.4 SJ11029 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11029 7.3 SJ11030 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11030 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284593
7.6,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,Option 3,SJ11008,個別PTF,Medium,CVE-2026-64607,CVE-2026-64607 (Medium),2026-08-21,2026-08-21,IBM i is Affected By Holding Resources after Effective Lifetime Vulnerability in Electronic Service Agent [CVE-2026-64607],https://www.ibm.com/support/pages/node/7284589,"7.6, 7.5",,IBM i Release 5770-SS1 Option 3 PTF Number(s) PTF Download Link(s) 7.6 SJ11008 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11008 7.5 SJ11021 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11021 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284589
7.5,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,Option 3,SJ11021,個別PTF,Medium,CVE-2026-64607,CVE-2026-64607 (Medium),2026-08-21,2026-08-21,IBM i is Affected By Holding Resources after Effective Lifetime Vulnerability in Electronic Service Agent [CVE-2026-64607],https://www.ibm.com/support/pages/node/7284589,"7.6, 7.5",,IBM i Release 5770-SS1 Option 3 PTF Number(s) PTF Download Link(s) 7.6 SJ11008 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11008 7.5 SJ11021 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11021 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284589
V1R1M0,IBM Administration Runtime Expert for i,,5733-ARE,IBM Administration Runtime Expert for i,表内表記,,,SJ11185,個別PTF,Critical,"CVE-2026-17203, CVE-2026-18527",CVE-2026-17203 (High); CVE-2026-18527 (Critical),2026-08-21,2026-08-21,"IBM Application Runtime Expert (ARE) for IBM i is vulnerable to a user gaining elevated privileges and sensitive information [CVE-2026-18527, CVE-2026-17203].",https://www.ibm.com/support/pages/node/7284580,V1R1M0,,IBM strongly recommends addressing the vulnerability now. Release 5733-ARE PTF Number(s) PTF Download Link(s) V1R1M0 SJ11185 After applying this PTF the legacy ARE GUI is nonfunctional. https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11185,7284580
7.6,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,,SJ11150,個別PTF,Medium,CVE-2026-17015,CVE-2026-17015 (Medium),2026-08-17,2026-08-17,IBM i is Affected By Denial of Service in Host Servers [CVE-2026-17015],https://www.ibm.com/support/pages/node/7284068,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 PTF Number(s) PTF Download Link(s) 7.6 SJ11150 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11150 7.5 SJ11149 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11149 7.4 SJ11148 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11148 7.3 SJ11147 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11147 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284068
7.5,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,,SJ11149,個別PTF,Medium,CVE-2026-17015,CVE-2026-17015 (Medium),2026-08-17,2026-08-17,IBM i is Affected By Denial of Service in Host Servers [CVE-2026-17015],https://www.ibm.com/support/pages/node/7284068,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 PTF Number(s) PTF Download Link(s) 7.6 SJ11150 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11150 7.5 SJ11149 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11149 7.4 SJ11148 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11148 7.3 SJ11147 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11147 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284068
7.4,IBM i,,5770-SS1,IBM i オペレーティングシステム,表内表記,,,SJ11148,個別PTF,Medium,CVE-2026-17015,CVE-2026-17015 (Medium),2026-08-17,2026-08-17,IBM i is Affected By Denial of Service in Host Servers [CVE-2026-17015],https://www.ibm.com/support/pages/node/7284068,"7.6, 7.5, 7.4, 7.3",,IBM i Release 5770-SS1 PTF Number(s) PTF Download Link(s) 7.6 SJ11150 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11150 7.5 SJ11149 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11149 7.4 SJ11148 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11148 7.3 SJ11147 https://www.ibm.com/mysupport/s/fix-information?legacy=SJ11147 IBM recommends users running unsupported versions of affected products upgrade to a supported and fixed version of affected products.,7284068
